sub_industry,Industry,sector,sic_code,sic_description,company_name,person_name,email,website,country,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,is_duplicate,duplicate_group,role_function,role_confidence
(HVAC) Heating Contractors & Consultants,Construction & Engineering,Construction & Materials,43220,"Plumbing, heat and air-conditioning installation",,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,False,,Other,0.0
Animal Feed Manufacturing,Agricultural Products,Manufacturing & Industrials,10910,Manufacture of prepared feeds for farm animals,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Abortion Advice,Health Care Providers & Services,Healthcare,86900,Other human health activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Abrasive Products - Manufacturers & Distributors,Materials & Metals,Manufacturing & Industrials,23910,Production of abrasive products,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Academy Schools,Education Services,Education,85200,Primary education,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Access Consultants,Consulting Services,Professional Services,71129,Other engineering activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Access Control Systems & Solutions,Security Services & Equipment,Professional Services,80200,Security systems service activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Access Equipment,Industrial Equipment & Supplies,Manufacturing & Industrials,28220,Manufacture of lifting and handling equipment,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Accident Management,Insurance,Financial Services,66210,Risk and damage evaluation,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Accommodation Address Agents,Property Rental & Real Estate Services,Real Estate,82990,Other business support service activities n.e.c.,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Accounting & Audit,Professional & Commercial Services,Professional Services,69201,Accounting and auditing activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
Accounting & Bookkeeping Services,Professional & Commercial Services,Professional Services,69202,Bookkeeping activities,,,,,,missing_company_name;missing_person_name;missing_email;missing_country,True,,,0.0,0.0,,True,,Other,0.0
