person_name,website,country,industry,size,Revenue (Billion USD),Employees,Founded Year,company_name,email,phone,job_title,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Walmart,walmart.com,United States,Retail,Enterprise,681.0,2100000,1962,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Retail,,False,email_match_0,Other,0.0
Amazon,amazon.com,United States,E-commerce & Cloud,Enterprise,638.0,1556000,1994,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
State Grid Corporation of China,sgcc.com.cn,China,Utilities,Enterprise,548.4,1354310,2002,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
Saudi Aramco,saudiaramco.com,Saudi Arabia,Oil & Gas,Enterprise,480.2,75118,1933,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Saudi Arabia,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
China National Petroleum,cnpc.com.cn,China,Oil & Gas,Enterprise,412.6,985155,1988,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
Sinopec,sinopecgroup.com,China,Oil & Gas,Enterprise,407.5,495096,1998,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
UnitedHealth Group,unitedhealthgroup.com,United States,Healthcare,Enterprise,400.3,400000,1977,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Healthcare,,True,email_match_0,Other,0.0
Apple,apple.com,United States,Technology,Enterprise,391.0,164000,1976,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Technology,,True,email_match_0,Other,0.0
CVS Health,cvshealth.com,United States,Healthcare & Retail,Enterprise,372.8,259500,1963,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Retail,,True,email_match_0,Other,0.0
Berkshire Hathaway,berkshirehathaway.com,United States,Diversified Financials,Enterprise,371.4,392400,1956,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Diversified Financials,,True,email_match_0,Other,0.0
Microsoft,microsoft.com,United States,Software & IT Services,Enterprise,261.8,220000,1975,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
Alphabet (Google),alphabet.com,United States,Technology,Enterprise,350.0,183323,1998,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Technology,,True,email_match_0,Other,0.0
Meta,meta.com,United States,Social Media & Technology,Enterprise,134.9,67317,2004,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Social Media & Technology,,True,email_match_0,Other,0.0
Intel,intel.com,United States,Semiconductors,Enterprise,77.9,123000,1968,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Semiconductors,,True,email_match_0,Other,0.0
IBM,ibm.com,United States,IT Services & Cloud,Enterprise,73.6,280000,1911,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
Cisco Systems,cisco.com,United States,Networking Hardware,Enterprise,56.5,82000,1984,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Networking Hardware,,True,email_match_0,Other,0.0
Oracle,oracle.com,United States,Software,Enterprise,50.2,158000,1977,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
Adobe,adobe.com,United States,Software,Large,19.9,28000,1982,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
Salesforce,salesforce.com,United States,Cloud Software,Large,36.9,80000,1999,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
SAP,sap.com,Germany,Enterprise Software,Enterprise,34.0,108000,1972,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
Toyota Motor,toyota.com,Japan,Automotive,Enterprise,315.1,383853,1937,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
Volkswagen Group,volkswagen.com,Germany,Automotive,Enterprise,351.1,646501,1937,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
Mercedes-Benz,mercedes-benz.com,Germany,Automotive,Large,175.8,180000,1886,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
BMW,bmw.com,Germany,Automotive,Large,112.8,149000,1916,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
Ford Motor,ford.com,United States,Automotive,Enterprise,127.1,177000,1903,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
General Motors,gm.com,United States,Automotive,Enterprise,122.5,180000,1908,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
Honda Motor,honda.com,Japan,Automotive,Large,124.2,215000,1948,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
Nissan Motor,nissan.com,Japan,Automotive,Large,74.2,130000,1933,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
Hyundai Motor,hyundai.com,South Korea,Automotive,Large,88.2,122000,1967,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,South Korea,0.0,0.0,,Automotive,,True,email_match_0,Other,0.0
Tesla,tesla.com,United States,Electric Vehicles,Large,81.5,128000,2003,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Electric Vehicles,,True,email_match_0,Other,0.0
JPMorgan Chase,jpmorganchase.com,United States,Banking & Finance,Enterprise,278.9,317233,1799,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
Bank of America,bofa.com,United States,Banking,Enterprise,196.5,210000,1874,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
Industrial and Commercial Bank of China,icbc.com.cn,China,Banking,Enterprise,222.0,450000,2005,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
China Construction Bank,ccb.com,China,Banking,Enterprise,196.7,360000,1954,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
Goldman Sachs,goldmansachs.com,United States,Investment Banking,Large,120.1,43700,1869,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
Wells Fargo,wellsfargo.com,United States,Banking,Large,124.0,200000,1852,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
Citigroup,citigroup.com,United States,Banking & Finance,Large,116.4,190000,1998,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
HSBC,hsbc.com,United Kingdom,Banking,Enterprise,145.2,234000,1865,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United Kingdom,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
Agricultural Bank of China,abchina.com,China,Banking,Enterprise,198.0,450000,1979,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
Bank of China,boc.cn,China,Banking,Enterprise,177.1,320000,1912,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,China,0.0,0.0,Industry Standardization,Financial Services,,True,email_match_0,Other,0.0
ExxonMobil,exxonmobil.com,United States,Oil & Gas,Enterprise,349.6,60900,1870,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
Shell,shell.com,United Kingdom,Oil & Gas,Enterprise,289.0,96000,1907,,,,,missing_company_name;missing_email;missing_phone;missing_job_title,True,,United Kingdom,0.0,0.0,,Oil & Gas,,True,email_match_0,Other,0.0
