id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,head_office_country,website,phone,location_type,company_email,founded_date,company_age,sub_industry,person_name,email,job_title,industry,size,linkedin_url,domain_id,postal_code,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,change_history,suggested_industry,suggested_phone,is_duplicate,duplicate_group,duplicate_type,role_function,role_confidence
1,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,False,PARTIAL_1,,Other,0.0
2,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
3,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,False,PARTIAL_42,,Other,0.0
4,XYZ Solutions,45 Anna Nagar,,,600028,Chennai,TN,India,India,xyz.com,9123456780,HQ,hello@xyz.com,2012-03-15,13,Consulting,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9123456780,False,PARTIAL_52,,Other,0.0
5,XYZ Solutions,45 Anna Nagar,,,600028,Chennai,TN,India,India,xyz.com,9123456780,HQ,hello@xyz.com,2012-03-15,13,Consulting,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9123456780,True,PARTIAL_52,Partial,Other,0.0
6,XYZ Solns,45 Anna Nagar,,,600028,Chennai,TN,India,India,xyz.com,9123456780,Branch,support@xyz.com,2012-03-15,13,Consulting,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,,,,9123456780,False,,,Other,0.0
7,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
8,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
9,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
10,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
11,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
12,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_42,Partial,Other,0.0
13,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,,,,,,,,,missing_person_name;missing_email;missing_job_title;missing_industry;missing_company_size;missing_linkedin_url,True,,India,0.0,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",Technology,9876543210,True,PARTIAL_1,Partial,Other,0.0
