id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,head_office_country,website,phone,location_type,company_email,founded_date,company_age,sub_industry,issues,has_issues,suggested_country,country_confidence,corrections_applied,change_history,suggested_phone,is_duplicate,duplicate_group,duplicate_type,role_function,role_confidence,suggested_industry
1,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,False,PARTIAL_1,Partial,Other,0.0,Technology
2,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
3,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,False,PARTIAL_2,Partial,Other,0.0,Technology
4,XYZ Solutions,45 Anna Nagar,,,600028,Chennai,TN,India,India,xyz.com,9123456780,HQ,hello@xyz.com,2012-03-15,13,Consulting,missing_address_2;missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9123456780,False,PARTIAL_3,Partial,Other,0.0,Technology
5,XYZ Solutions,45 Anna Nagar,,,600028,Chennai,TN,India,India,xyz.com,9123456780,HQ,hello@xyz.com,2012-03-15,13,Consulting,missing_address_2;missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9123456780,True,PARTIAL_3,Partial,Other,0.0,Technology
6,XYZ Solns,45 Anna Nagar,,,600028,Chennai,TN,India,India,xyz.com,9123456780,Branch,support@xyz.com,2012-03-15,13,Consulting,missing_address_2;missing_address_3,True,India,0.0,,,9123456780,False,,,Other,0.0,
7,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
8,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
9,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
10,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
11,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
12,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
13,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
14,ABC Tech,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,HQ,info@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_1,Partial,Other,0.0,Technology
15,ABC Technologies,12 MG Road,Suite 101,,641001,Coimbatore,TN,India,India,abctech.com,9876543210,Branch,contact@abctech.com,2015-06-01,10,IT Services,missing_address_3,True,India,0.0,AI: Inferred Industry,"[{""field"": ""suggested_industry"", ""old"": """", ""new"": ""Technology"", ""method"": ""AI""}]",9876543210,True,PARTIAL_2,Partial,Other,0.0,Technology
